time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
61200	9991,78444563	9991,78444563	9991,78444563	9991,78444563	9991,64445435	9991,64445435	9991,64445435	9991,41083198	9991,41083198	9991,41083198	9991,41083198	9991,41083198	9991,41083198	9991,35857947	9991,35857947	9991,35857947	9991,35857947
62100	9992,81819929	9992,81819929	9992,81819929	9992,81819929	9992,69525964	9992,69525964	9992,69525964	9992,49441365	9992,49441365	9992,49441365	9992,49441365	9992,49441365	9992,49441365	9992,44788107	9992,44788107	9992,44788107	9992,44788107
63000	9992,67689301	9992,67689301	9992,67689301	9992,67689301	9992,55142063	9992,55142063	9992,55142063	9992,34730583	9992,34730583	9992,34730583	9992,34730583	9992,34730583	9992,34730583	9992,30061613	9992,30061613	9992,30061613	9992,30061613
63900	9993,06342891	9993,06342891	9993,06342891	9993,06342891	9992,94604619	9992,94604619	9992,94604619	9992,74390402	9992,74390402	9992,74390402	9992,74390402	9992,74390402	9992,74390402	9992,69707646	9992,69707646	9992,69707646	9992,69707646
64800	9993,80401674	9993,80401674	9993,80401674	9993,80401674	9993,69929725	9993,69929725	9993,69929725	9993,51795316	9993,51795316	9993,51795316	9993,51795316	9993,51795316	9993,51795316	9993,47703466	9993,47703466	9993,47703466	9993,47703466
65700	9992,40454274	9992,40454274	9992,40454274	9992,40454274	9992,27621343	9992,27621343	9992,27621343	9992,05365063	9992,05365063	9992,05365063	9992,05365063	9992,05365063	9992,05365063	9992,00365234	9992,00365234	9992,00365234	9992,00365234
66600	9992,52071844	9992,52071844	9992,52071844	9992,52071844	9992,39306018	9992,39306018	9992,39306018	9992,18165249	9992,18165249	9992,18165249	9992,18165249	9992,18165249	9992,18165249	9992,13573645	9992,13573645	9992,13573645	9992,13573645
67500	9993,19064231	9993,19064231	9993,19064231	9993,19064231	9993,07385852	9993,07385852	9993,07385852	9992,88474673	9992,88474673	9992,88474673	9992,88474673	9992,88474673	9992,88474673	9992,84643258	9992,84643258	9992,84643258	9992,84643258
68400	9990,40911747	9990,40911747	9990,40911747	9990,40911747	9990,24323276	9990,24323276	9990,24323276	9989,98524977	9989,98524977	9989,98524977	9989,98524977	9989,98524977	9989,98524977	9989,93009103	9989,93009103	9989,93009103	9989,93009103
69300	9991,35139671	9991,35139671	9991,35139671	9991,35139671	9991,20201015	9991,20201015	9991,20201015	9990,96817097	9990,96817097	9990,96817097	9990,96817097	9990,96817097	9990,96817097	9990,91894476	9990,91894476	9990,91894476	9990,91894476
70200	9990,20412304	9990,20412304	9990,20412304	9990,20412304	9990,03511182	9990,03511182	9990,03511182	9989,76910007	9989,76910007	9989,76910007	9989,76910007	9989,76910007	9989,76910007	9989,71016633	9989,71016633	9989,71016633	9989,71016633
71100	9989,31090689	9989,31090689	9989,31090689	9989,31090689	9989,12977538	9989,12977538	9989,12977538	9988,81976346	9988,81976346	9988,81976346	9988,81976346	9988,81976346	9988,81976346	9988,74885088	9988,74885088	9988,74885088	9988,74885088
72000	9988,87316305	9988,87316305	9988,87316305	9988,87316305	9988,68434934	9988,68434934	9988,68434934	9988,36322827	9988,36322827	9988,36322827	9988,36322827	9988,36322827	9988,36322827	9988,29099854	9988,29099854	9988,29099854	9988,29099854
